Disease_cn,Level2_dep,Descript,Disease_ab,Alias,Treatment,Head_dep,Id,Symptom
狼疮样综合征,风湿科,　　该综合征是长期用某些药物治疗非风湿病性原发病而引起的类似红斑狼疮表现的综合征，属于医源性疾病。临床上以发热、关节症状、心脏损害及皮损等系统性红斑狼疮表现为特征，而又与系统性红斑狼疮有所不同，即停用致病药物后，多数病人的自觉症状及客观体征能很快缓解。,lcyzhz, 狼疮样综合症,http://jbk.39.net/lcyzhz/yyzl,内科,http://jbk.39.net/lcyzhz/jbzs,
费尔蒂综合征,风湿科,　　费尔蒂(Felty)综合征首先由Felty(1924)报道，其特点为类风湿关节炎合并脾肿大和白细胞减少，与普通型类风湿关节炎不同。Hanrakar等(1932)把具有类风湿关节炎、脾肿大和白细胞减少三个主症的疾病称为费尔蒂综合征。至今已报道许多病例，多数认为本综合征是类风湿关节炎的亚型。近年已明确本综合征具有特征性免疫异常，逐渐成为一个独立疾病。,fedzhz, 关节炎-粒细胞减少-脾大综合征,http://jbk.39.net/fedzhz/yyzl,内科,http://jbk.39.net/fedzhz/jbzs,"关节痛,体重减轻,斑疹,肩关节痛"
组织细胞吞噬性脂膜炎,风湿科,　　1980年Winklemann等首先提出组织细胞吞噬性脂膜炎(histiocytic phagocytic panniculitis)的病名，并报道5例。是一良性的组织细胞增生性疾病，其特征是全身触痛性多发性皮下结节、高热、肝脾肿大、全血细胞减少、出血、血凝异常，组织病理主要特征是组织细胞吞噬血液成分形成ldquo;豆袋rdquo;细胞。本病是由具有吞噬活性的组织细胞浸润皮下脂肪组织引起的脂膜炎，常有多器官受累，出现皮下结节、发热、全血细胞减少、出血、肝肾功能衰竭等。,zzxbtsxzmy,"
                        ",http://jbk.39.net/zzxbtsxzmy/yyzl,内科,http://jbk.39.net/zzxbtsxzmy/jbzs,
痛性青紫综合征,风湿科,　　痛性青紫综合征(painful bruising syndrome)又称自身红细胞敏感症(autoerythrocyte sensitization)。1955年，Gardener和Diamond首先报道此病，因而本病又称Gardener-Diamond综合征。属少见病。,txqzzhz," 疼痛性青肿综合征,痛性青紫综合症,痛性瘀斑综合征,自身红细胞敏感症",http://jbk.39.net/txqzzhz/yyzl,内科,http://jbk.39.net/txqzzhz/jbzs,"恶心,剧痛,失眠"
幼年型慢性关节炎及其伴发的葡萄膜炎,风湿科,　　幼年型慢性关节炎(juvenile chronic arthritis，JCA)是一种发生于16岁以下的常见的特发性关节炎，通常累及膝、踝、腕等关节。它最早叫做Still病。在美国文献中通常将其称为幼年型类风湿性关节炎(juvenile rheumatoid arthritis，JRA)，但此种关节炎患者中约90%为类风湿因子阴性，因此将其称为“类风湿性关节炎”显然是不妥的。欧洲抗风湿联盟将其称为“幼年型慢性关节炎”，该名称基本上可以反映出该疾病的特征。此种疾病引起或伴发的葡萄膜炎，是少年儿童的一种常见而又重要的致盲性眼病。,ynxmxgjyjqbfdptmy, 幼年型慢性关节炎及其伴发的色素膜炎,http://jbk.39.net/ynxmxgjyjqbfdptmy/yyzl,内科,http://jbk.39.net/ynxmxgjyjqbfdptmy/jbzs,"老年人非病变性眼前飞蚊,泪溢,关节响痛,非对称性关节痛,淋巴结肿大,结节,红眼,发烧,炎性损害,视力障碍,眼前黑影,关节液渗出"
卡普兰综合征,风湿科,　　卡普兰(Caplan)综合征，又有类风湿尘肺综合征、类风湿关节炎-尘肺综合征、硅沉着病关节炎等之称。　　1953年，英国的Caplan发现尘肺煤矿工人合并有类风湿关节炎者可有特异性肺阴影，后人将该病称为卡普兰综合征。以后又相继证实吸入游离硅酸、硅酸盐、铁、铝等其他无机粉尘也可产生本综合征。目前将硅沉着病合并类风湿关节炎，肺部又出现特征性阴影者，均称为卡普兰综合征。,kplzhz," 硅沉着病关节炎,卡普兰氏综合征,卡普兰综合症,类风湿尘肺综合征,类风湿关节炎-尘肺综合征",http://jbk.39.net/kplzhz/yyzl,内科,http://jbk.39.net/kplzhz/jbzs,"咳嗽,咳痰,胸痛"
回归热型结节性非化脓性脂膜炎,风湿科,　　本病也称Weber-Christian综合征，呈一种特发性的主要累及躯干和大腿皮下脂肪组织的脂膜炎。主要临床表现为反复发作的皮下结节或为片状斑块，同时伴有发热，部分病例可累及内脏。具有多系统损害的回归热型结节性非化脓性脂膜炎，称为系统型脂膜炎;仅有皮损而无内脏损害者，称普通型脂膜炎。,hgrxjjxfhnxzmy,"
                        ",http://jbk.39.net/hgrxjjxfhnxzmy/yyzl,内科,http://jbk.39.net/hgrxjjxfhnxzmy/jbzs,
巨细胞动脉炎性巩膜炎,风湿科,　　巨细胞动脉炎(GCA)又称为颞动脉炎、颅动脉炎或肉芽肿动脉炎，是一种不明原因的全身性血管炎。主要累及脉管系的颈动脉和中度大小的颅外动脉(颞浅动脉、脊柱动脉和眼动脉等)。在某些患者，主动脉及其分支也可受累。GCA及其并发症可导致失明、卒中甚至死亡。GCA的某些临床特征、实验室检查和组织病理学检查有助于和其他的血管性疾病相鉴别。发作时出现颞侧偏头痛或触痛、颞动脉搏动减弱、短暂的或不可逆转的失明、风湿性多肌痛，伴有血沉(ESR)增快和动脉壁内弹性层出现单核或多核巨细胞。,jxbdmyxgmy, 巨细胞性动脉炎性巩膜炎,http://jbk.39.net/jxbdmyxgmy/yyzl,内科,http://jbk.39.net/jxbdmyxgmy/jbzs,"视力障碍,偏瘫,复视,黑蒙,头痛"
小儿结节性多动脉炎,风湿科,　　结节性多动脉炎(polyarteritis nodosa，PAN)是中小动脉坏死性血管炎，沿血管管壁有结节形成，特别是在肠系膜的血管床，邻近静脉也受累。,xejjxddmy," 小儿结节性动脉外膜炎,小儿结节性动脉周围炎,小儿库斯毛耳氏病",http://jbk.39.net/xejjxddmy/yyzl,内科,http://jbk.39.net/xejjxddmy/jbzs,"肚子疼,结节,关节疼痛,乏力"
结节性液化性脂膜炎,风湿科,　　本病也称胰腺性皮下结节性脂肪坏死症。其临床特征为反复成批出现发红的疼痛性皮下结节，直径0.5～5cm。皮损最早发生于小腿，以后可波及全身皮肤。某些结节在软化期后可含有无菌性黏稠物质，皮损出现时可伴有阵发性腹痛、多关节炎(或关节痛)、发热及嗜酸粒细胞增多症。皮损自发性内陷而无表皮萎缩。Hansemann(1889)首先发现结节性皮下脂肪坏死与胰腺疾病有关。Blauvelt(1946)注意到急性胰腺炎可出现小腿结节性皮损。,jjxyhxzmy, 胰腺性皮下结节性脂肪坏死症,http://jbk.39.net/jjxyhxzmy/yyzl,内科,http://jbk.39.net/jjxyhxzmy/jbzs,
原发性混合型冷球蛋白血症性血管炎,风湿科,　　原发性混合型冷球蛋白血症(essential mixed cryoglobulinemia，EMC)也称紫癜-关节痛-冷球蛋白血症综合征。临床以紫癜皮损、关节痛、贫血、肾损害和高gamma;球蛋白血症为特征。Meltzer(1966)在Wintrobe(1933)和Iener(1947)的基础上最早对此病做了系统性描述，在此同时也发现骨髓瘤等恶性肿瘤也可伴有冷球蛋白血症，并出现与本病相同的临床特征。此外，如亚急性细菌性心内膜炎、麻风、溶血性贫血、急性肾小球肾炎、系统性红斑狼疮、类风湿关节炎及舍格伦综合征等疾病也可伴有冷球蛋白血症，并对由这些疾病伴随的冷球蛋白血症称之为继发性冷球蛋白血症。,yfxhhxlqdbxzxxgy," 特发性混合型冷沉淀球蛋白血症,特发性混合性冷球蛋白血症,紫癜-关节痛-冷球蛋白血症综合征",http://jbk.39.net/yfxhhxlqdbxzxxgy/yyzl,内科,http://jbk.39.net/yfxhhxlqdbxzxxgy/jbzs,"丘疹,疼痛,关节痛"
免疫缺陷病,风湿科,  由于免疫器官、组织或细胞发育缺陷，或免疫功能失常或缺陷，引起的病理过程。有二种类型：①原发性免疫缺陷病，又称先天性免疫缺陷病，与遗传有关，多发生在婴幼儿。②继发性免疫缺陷病，又称获得性免疫缺陷病，可发生在任何年龄，多因严重感染，尤其是直接侵犯免疫系统的感染、恶性肿瘤、应用免疫抑制剂、放射治疗和化疗等原因引起。,myqxb,"
                                        ",http://jbk.39.net/myqxb/yyzl,内科,http://jbk.39.net/myqxb/jbzs,"反复感染,出血倾向,共济失调,毛细血管扩张,体型异常,真菌感染,细菌感染,反复肺炎,念珠菌感染,生长缓慢,粒细胞减少,毛发脱落"
复发性皮肤坏死性嗜酸粒细胞血管炎,风湿科,　　复发性皮肤坏死性嗜酸粒细胞血管炎(recurrent cutaneous necrotizing eosinophilic vasuclitis)是以全身性红色丘疹、出血性丘疹、血管性水肿、风团性斑块、黏膜炎、牙龈炎、全秃等。偶有环状红斑、水肿性损害及水疱的皮肤血管炎。,ffxpfhsxsslxbxgy,"
                                        ",http://jbk.39.net/ffxpfhsxsslxbxgy/yyzl,内科,http://jbk.39.net/ffxpfhsxsslxbxgy/jbzs,
选择性IgA缺乏症,风湿科,　　选择性IgA缺乏症是指血清IgA低于0.05g/L，而IgG和IgM含量正常;它是免疫缺陷中最常见的类型。在群体中扫病率约为1/700。本症多为散发，部分家族性，且累及数代人。对我国不同地区6个民族的流行病学调查，显示本病有民族和地区差异。Alpha;重链编码结构基因异常可能不是主要病因;在B细胞分化早期IgA 生成B细胞成熟停滞或IgA特异性抑制T细胞被活化，致使B细胞成熟受阻可能是致病原因。,xzxigaqfz,"
                        ",http://jbk.39.net/xzxigaqfz/yyzl,内科,http://jbk.39.net/xzxigaqfz/jbzs,"胃肠道症状,恶性贫血"
结节性多动脉炎性巩膜炎,风湿科,　　结节性多动脉炎(PAN)最早在1866年由Kussmaul和Maier报道，是以累及多系统中小血管为特征的一种坏死性血管炎。病损呈节段性，好发于血管分叉处，可侵及毗邻的静脉，偶可累及血管远端的动脉或微静脉。PAN可侵及任何器官，但以皮肤、关节、末梢神经、胃肠道、肾最易发病。如不治疗，预后极差。在不治疗的患者中，5年生存率仅有12%，而全身应用糖皮质激素和免疫抑制剂治疗的患者中，5年生存率为80%。,jjxddmyxgmy," 结节性动脉外膜炎性巩膜炎,结节性多发性动脉炎性巩膜炎",http://jbk.39.net/jjxddmyxgmy/yyzl,内科,http://jbk.39.net/jjxddmyxgmy/jbzs,"结节,视网膜水肿,黑蒙,角膜溃疡,乏力,偏瘫,视网膜出血,尿蛋白,恶心与呕吐,内脏出血"
微病毒B19感染性风湿病,风湿科,　　微病毒B19(parvovirus B19)是一种晚近被人们逐渐认识的新病毒。最早由Yvonne Cossart等于1975年在标记B19号HBsAg对照的血清中首次鉴定出一种微病毒颗粒，发现其为一种与HBsAg不同的抗原。后经电镜检查，含有这种抗原认得血清中有一种球形颗粒和典型的病毒酶空壳。这种新病毒最初在健康供血者血清中发现，其抗原在氯化铯梯度电泳时悬浮密度为1.36～1.40，系典型的微病毒酶。1985年他们研究了该病毒的致病作用。目前已确认微病毒B19可引起风湿病。,wbdb19grxfsb, 细小病毒B19感染性风湿病,http://jbk.39.net/wbdb19grxfsb/yyzl,内科,http://jbk.39.net/wbdb19grxfsb/jbzs,"发烧,疼痛,头痛,怕冷,皮疹"
硬皮症伴发的精神障碍,风湿科,　　硬皮症属于自身免疫性疾病范畴，少数病人的家族中同时发生有红斑狼疮、皮肌炎、类风湿性关节炎等有关疾病。本病分为弥漫性和局限性两型，主要累及皮肤、皮下组织、肌肉、骨骼和神经系统，包括中枢和周围神经以及交感神经的广泛损害。病者以内向性格的女性多见。硬皮病所致的精神障碍是皮肤和皮下组织、肌肉、骨骼、内脏和神经系统等组织的病变引起的精神障碍和神经症状。,ypzbfdjsza,"
                                        ",http://jbk.39.net/ypzbfdjsza/yyzl,内科,http://jbk.39.net/ypzbfdjsza/jbzs,
尿黑酸尿与褐黄病,风湿科,　　尿黑酸尿与褐黄病(alkaptonuria et ochronosis)属于常染色体隐性遗传病。尿黑酸长期聚积在体内各器官中，可引起褐黄病。黑尿、皮肤棕黄色色素沉着及关节炎是本病独特的三联症。,nhsnyhhb,"
                        ",http://jbk.39.net/nhsnyhhb/yyzl,内科,http://jbk.39.net/nhsnyhhb/jbzs,"尿黑酸,钙化"
游走性结节性脂膜炎,风湿科,　　游走性节结性脂膜炎是一种特殊的临床综合征，其特征为双侧或单侧小腿前面出现1个或数个发红的皮肤结节，并向周围迅速扩大，形成硬的斑块，数月后可自行消退。Bafrested (1954)采用游走性结节性红斑这个术语以与典型结节性红斑区别开来，Pinol (1956)详细描述了本病的组织病理特征，并证明碘剂对本病有较好的疗效。,yzxjjxzmy,"
                        ",http://jbk.39.net/yzxjjxzmy/yyzl,内科,http://jbk.39.net/yzxjjxzmy/jbzs,
系统性红斑狼疮所致脊髓病,风湿科,　　系统性红斑狼疮(systemic lupus erythematosus，SLE) 所致脊髓病，是SLE在脊髓的病变表现。SLE是由多因素(遗传、性激素、环境、感染、药物、免疫反应各环节)参与的特异性自身免疫病，可累及多个系统，所以出现多脏器损害的症状。病初多有不规则的发热，以皮肤损害最多见，面颊及鼻梁部有蝶形红斑，颈部或躯干也可以发生皮疹;此外，常合并有关节疼痛及淋巴结肿大。　　SLE对中枢神经系统的损伤，是死亡的主要原因，据统计在20%～60%，有的报道可高达75%(Johnson，1968)。以抽搐反复发作最为常见，其次为脑神经障碍、精神障碍、脑血管意外、颅内压增高和脑膜炎、不自主运动、周围神经损害如出现雷诺现象。,xtxhblcszjsb1, 全身性红斑狼疮所致脊髓病,http://jbk.39.net/xtxhblcszjsb1/yyzl,内科,http://jbk.39.net/xtxhblcszjsb1/jbzs,"面部蝶形红斑,血小板减少,光过敏,脊髓病变"
多发性硬化伴发的葡萄膜炎,风湿科,　　多发性硬化(multiple sclerosis)是一种中枢神经系统的慢性炎症性脱髓鞘疾病，其特征为反复发作的功能障碍和多区域受累，多发性硬化伴发的葡萄膜炎为此病引起的眼部异常。多发性硬化(multiple sclerosis)是一种中枢神经系统的慢性炎症性脱髓鞘疾病，其特征为反复发作的功能障碍和多区域受累。在临床上分为良性型、复发-缓解型和慢性进展型3种类型。此病可引起视神经炎、葡萄膜炎、眼外肌病变等眼部异常。多发性硬化所致的葡萄膜炎是一种少见的类型。,dfxyhbfdptmy, 多发性硬化伴发的色素膜炎,http://jbk.39.net/dfxyhbfdptmy/yyzl,内科,http://jbk.39.net/dfxyhbfdptmy/jbzs,"痉挛性截瘫期,眼痛,眼前黑影,视力障碍,逼尿肌无反射,下肢神经性疼痛,老年人非病变性眼前飞蚊,色觉异常"
赖特综合征性巩膜炎,风湿科,　　赖特综合征(Reiters syndrome，RS)是一种在遗传易感人群中患肠炎或泌尿生殖器炎症后的“反应性关节炎”(reactive arthritis)。,ltzhzxgmy,"
                        ",http://jbk.39.net/ltzhzxgmy/yyzl,内科,http://jbk.39.net/ltzhzxgmy/jbzs,"感染性发热,眼屎多,尿道烧灼感,腋下淋巴肿大,红眼,乏力"
科干综合征,风湿科,　　科干(Cogan)综合征也称间质角膜炎-眩晕-神经性耳聋综合征。最早由Mogan和Baum Gartner(1934)报道，后由Cogan(1945)确定为一种独立的全身性疾病。其主要特征为：①非梅毒性间质性角膜炎;②眩晕等前庭神经症状;③严重双侧性神经性耳聋;④系统性血管炎表现，如充血性心力衰竭、胃肠道出血等。,kgzhz," 间质角膜炎-眩晕-神经性耳聋综合征,科干综合症,寇甘氏综合征,寇甘综合征",http://jbk.39.net/kgzhz/yyzl,内科,http://jbk.39.net/kgzhz/jbzs,
过敏性血管炎和肉芽肿病,风湿科,　　过敏性血管炎和肉芽肿病即变应性肉芽肿(allergic granulomatosis，AG)也称过敏性肉芽肿或过敏性肉芽肿性血管炎。是一种以肺内及系统性小血管炎症、血管外肉芽肿及高嗜酸粒细胞血症为特点的一种自身免疫性肉芽肿性血管炎。是以哮喘、嗜酸性粒细胞增多和血管外肉芽肿形成为特征的血管炎性疾病。病变主要累及中小动脉。最早在1951年Churg和Strauss将这一组疾病命名为过敏性血管炎和肉芽肿病(allergic angiitis and granulomatosis)。他们认为过敏因素在该病的发生过程中起重要作用。首次将此病从PAN中鉴别开来，并提出本病可看作是PAN与韦格内肉芽肿的中间型，或为吕弗硫综合征与韦格内肉芽肿的中间型。,gmxxgyhryzb," 变态反应性肉芽肿病,变应性肉芽肿,变应性肉芽肿病,过敏性肉芽肿,过敏性肉芽肿性血管炎,过敏性肉芽肿症",http://jbk.39.net/gmxxgyhryzb/yyzl,内科,http://jbk.39.net/gmxxgyhryzb/jbzs,"发烧,消瘦,食欲不振"
系统性红斑狼疮伴发的精神障碍,风湿科,　　系统性红斑狼疮是一种累及多系统、多器官，具有多种自身抗体的自体免疫性疾病，是结缔组织疾病中最为常见的疾病。临床以颜面、皮肤红斑，同时累及多个脏器结缔组织病变为特征。青年女性多见。男女比例为1∶7～1∶9。发病年龄大多为15～35岁，也可见于老人和儿童。系统性红斑狼疮(SLE)伴发的精神障碍可能是由于自身抗体经免疫介导参与脑血管损伤，进而影响脑功能的原因，使之产生了神经精神症状。,xtxhblcbfdjsza, 全身性红斑狼疮伴发的精神障碍,http://jbk.39.net/xtxhblcbfdjsza/yyzl,内科,http://jbk.39.net/xtxhblcbfdjsza/jbzs,
节段性透明性血管炎,风湿科,　　节段性透明性血管炎(segmental hyalinizing vasculitis)是在两下肢细小血管病变基础上发生多形性皮肤损害，愈后遗留萎缩性瘢痕的血管炎疾病。,jdxtmxxgy," 节段性透明变性性脉管炎,白色萎缩,白色萎缩症,青斑样血管炎",http://jbk.39.net/jdxtmxxgy/yyzl,内科,http://jbk.39.net/jdxtmxxgy/jbzs,
迟发性低丙球血症,风湿科,　　迟发性低丙球血症疾病是包括一组丙种球蛋白失衡的病症。其特点是患者血中某些Ig含量极低或缺乏，而另一种Ig可能增高;或Ig含量正常而功能不正常等多种病症。患者的Ig缺陷内容亦可随时间的推移而改变。其共同免疫缺陷是B细胞不能合成某些Ig，或只能合成功能不正常的Ig。患者外周血中B细胞数量减少或正常，但B细胞的成熟、分化有内脏在缺陷或T细胞免疫调节失常。,cfxdbqxz,"
                        ",http://jbk.39.net/cfxdbqxz/yyzl,内科,http://jbk.39.net/cfxdbqxz/jbzs,"粒细胞减少,恶性贫血"
肺嗜酸细胞组织细胞增生症,风湿科,"　　肺嗜酸细胞组织细胞增生症,以前包括在组织细胞增生症X(HX)之中。目前认为Langerhans细胞组织细胞增生症(Langerhanscell histiocvtosis，LCH)更为合宜，因为最近研究表明这组疾病的主要病变是Langerhans组织细胞的克隆性增生。表现为婴幼儿的播散性急性病变(Letter-Siwe病)、慢性多灶性病变(Hand-Schuller-Christian)以及进展缓慢的局灶性病变(嗜酸细胞肉芽肿)。肺LCH可以是多系统病变的一部分或只局限于肺脏(嗜酸细胞肉芽肿，原发性肺LCH)。原发性肺LCH是一种少见的与吸烟有关的间质性肺疾病，主要发生在年轻成人。少见的也有只表现为孤立性溶骨病变;更为罕见的是多灶性或广泛播散性病变，与儿科Letter-Siwe病相近。进展期病变相似于IPF;然而本病一般呈良性和迁延性临床病程。尽管LCH与其他弥漫性间质性肺疾病有某些相似之处，但作为一个独立疾病，它有其不同于其他疾病的临床、放射线学和病理学表现。",fssxbzzxbzsz," 肺嗜酸性细胞增多症,嗜酸细胞性肺炎,肺嗜酸细胞细胞增多症,Langerhans细胞组织细胞增生症,LCH",http://jbk.39.net/fssxbzzxbzsz/yyzl,内科,http://jbk.39.net/fssxbzzxbzsz/jbzs,
