Disease_cn,Level2_dep,Descript,Disease_ab,Alias,Treatment,Head_dep,Id,Symptom
富贵病,内分泌科,　　富贵病是人们进入现代文明社会，生活富裕后，吃得好、吃得精，营养过剩，活动量减少，导致的身体上。多数都是心血管系统的一些疾病。,fgb,"
                        ",http://jbk.39.net/fgb/yyzl,内科,http://jbk.39.net/fgb/jbzs,
高碘性甲状腺肿,内分泌科,　　碘主要随食物和饮水进入体内，在消化、吸收过程中，绝大部分有机碘和元素碘皆还原成无机碘化物(Ⅰ-)，方能够被小肠吸收。饮食中摄入的碘量，因饮食习惯及当地土壤和水中含碘量的不同而有很大差异。一般饮食情况下，我国每人每天从食物中摄取的碘约100～200µg，按我国的标准，正常成人每天碘的生理需要量为120～150µg，孕妇或乳母为200～250µg，婴幼儿为20～30µg，儿童为50～80µg，青少年为160～200µg，在摄入碘中，只有少部分为甲状腺摄取，大部分经肾脏排出，正常成人每天对碘的最低需要量约为100～150µg。,gdxjzxz,"
                        ",http://jbk.39.net/gdxjzxz/yyzl,内科,http://jbk.39.net/gdxjzxz/jbzs,"食欲不振,甲状腺肿大"
小儿甲状腺功能亢进症,内分泌科,　　甲状腺功能亢进症(hyperthyroidism，甲亢)是指由于甲状腺激素分泌过多所致的临床综合征，常伴有甲状腺肿大、眼球外突及基础代谢率增高等表现。儿童甲亢主要见于弥漫性毒性甲状腺肿(Graves病)。小儿甲亢约占全部甲亢的5 % ，以学龄小儿多见。患有Graves病孕妇的胎儿约有2%在出生后会呈现甲亢症状。,xejzxgnkjz," 小儿甲亢,小儿甲状腺功能亢进,小儿甲状腺机能亢进",http://jbk.39.net/xejzxgnkjz/yyzl,内科,http://jbk.39.net/xejzxgnkjz/jbzs,
小儿肥胖症,内分泌科,　　儿童肥胖症的标准一般指体重超过同性别、同年龄健康儿或同身高健康儿平均体重的2个标准差;或超过同年龄、同性别平均体重的20%。临床多见单纯由于饮食过多所引起的肥胖，称单纯性肥胖症。近年来单纯性肥胖症的发病率在我国有增多趋势，儿童时期的肥胖症可为成人肥胖症、高血压、冠心病及糖尿病等的先驱病，因而它又是一个慢性的代谢异常疾病，故应引起重视并及早加以预防。,xefpz, 儿童期单纯肥胖症,http://jbk.39.net/xefpz/yyzl,内科,http://jbk.39.net/xefpz/jbzs,"体重增加,重度肥胖,疲劳,腹部皮肤出现白纹、粉红色或紫纹,气短,继发性肥胖,婴儿过胖,交替性暴食厌食,青春期肥胖"
甲状腺功能异常伴发的精神障碍,内分泌科,　　甲状腺功能亢进伴发的精神障碍是指甲状腺素分泌过多，直接引起或使脑内代谢改变导致的精神障碍和神经症状。据统计约半数甲亢病人会出现性格改变、躁狂、抑郁、幻觉、妄想等精神障碍。　　甲状腺功能减退是由于甲状腺素合成、分泌减少，或生物效应缺陷引起的脑代谢异常。这是导致甲状腺功能减退伴发精神障碍的生物学基础。甲状腺素是中枢神经系统不可缺少的物质，也是维持人的正常行为和应激反应的重要成分。有报道认为，重症甲低病人抑郁症的发生率几乎是100%。,jzxgnycbfdjsza, 甲状腺机能异常伴发的精神障碍,http://jbk.39.net/jzxgnycbfdjsza/yyzl,内科,http://jbk.39.net/jzxgnycbfdjsza/jbzs,
青春期发育迟缓,内分泌科,　　青春期发育迟缓亦称初潮延迟。大约1%的女孩在18岁时尚无月经，而以后又逐渐发育成熟，因而很难对发育迟缓下定义。目前倾向于16岁完全无性征发育、或18岁尚无月经时，为发育迟缓或原发性闭经。,qcqfych," 初潮延迟,性发育迟缓",http://jbk.39.net/qcqfych/yyzl,内科,http://jbk.39.net/qcqfych/jbzs,"甲状腺功能低下,全身代谢低下,褪黑色素增多,厌食"
四肢淋巴水肿,内分泌科,　　淋巴水肿是指人体某部分由于淋巴系统缺陷引起淋巴液回流受阻、反流，导致肢体浅层软组织内体液集聚，继发纤维结缔组织增生、脂肪硬化、筋膜增厚及整个患肢变粗的病理状态。,szlbsz, 肢体肥大弥漫性水肿,http://jbk.39.net/szlbsz/yyzl,内科,http://jbk.39.net/szlbsz/jbzs,"踝部凹陷性水肿,胫前和足部坚硬的非凹陷性水肿斑块,胫前指压性水肿,肢体的非凹性水肿"
老年人肥胖症,内分泌科,　　肥胖是机体脂肪细胞数量增加或体积肥大使体内脂肪堆积过多和(或)分布异常，体重超过标准体重20%以上的病理状态。另一方面，肥胖症又是多种复杂情况的综合体，如它需要与2型糖尿病、高血压、血脂异常、缺血性心脏病等集结出现，因而它又是一个慢性的代谢异常疾病。无明显病因可寻者称单纯性肥胖症。肥胖还可作为某些疾病(如下丘脑-垂体的炎症、肿瘤、创伤、库欣综合征、甲状腺功能减退症、性腺功能减退症)的临床表现之一，又称为继发性肥胖症。老年人肥胖症指的是60岁以上的老年人出现或存在的肥胖。,lnrfpz,"
                                        ",http://jbk.39.net/lnrfpz/yyzl,内科,http://jbk.39.net/lnrfpz/jbzs,"体重增加,焦虑,肌肉酸痛,紧张,抑郁,呼吸衰竭"
低血糖综合症,内分泌科,　　低血糖综合征(hypoglycemic syndrome)是一组由多种病因引起的综合征。血糖浓度常低于3.36mmol/L(60mg/dl)，严重而长期的低血糖症可发生广泛的神经系统损害与并发症。常见的有功能性低血糖与肝源性低血糖，其次为胰岛素瘤及其他内分泌性疾病所致的低血糖症。本病常被误诊为癔病、癫痫、精神病、脑瘤与脑炎等，经过恰当治疗后，症状可迅速好转。早期识别本病甚为重要，可达治愈目的，延误诊断与治疗会造成永久性的神经病变而不可逆转，后果不佳。,dxtzhz, 低血糖综合征,http://jbk.39.net/dxtzhz/yyzl,内科,http://jbk.39.net/dxtzhz/jbzs,"面色苍白,餐后综合征,复视,低血糖性低温症,低血糖性昏迷"
下丘脑综合征,内分泌科,　　下丘脑重约4g，体积小。在功能上下丘脑是神经内分泌和机体自主调节的中枢。从整体上看，下丘脑既是神经中枢，又是内分泌器官，为神经系统控制内分泌器官和内分泌器官与内外感受器之间相互联系的枢纽。下丘脑神经元分泌激素目前至少已确定有11种存在。,xqnzhz, 下丘脑综合症,http://jbk.39.net/xqnzhz/yyzl,内科,http://jbk.39.net/xqnzhz/jbzs,"深睡眠症,偏盲,复视,毛发脱落,发作性睡眠,震颤,尿崩"
新生儿糖尿病,内分泌科,　　医学上把出生后6个月内发生的糖尿病称为新生儿糖尿病，但发病率不高。以Ⅰ型糖尿病为主，这类患儿需要终身注射胰岛素。另外一种类型的新生儿暂时性糖尿病少见。,xsetnb,"
                                        ",http://jbk.39.net/xsetnb/yyzl,内科,http://jbk.39.net/xsetnb/jbzs,
老年人糖尿病肾病,内分泌科,　　糖尿病肾病(diabetic nephropathy，DN)为糖尿病性微血管病变所引起，早期表现为尿中排出微量白蛋白。继之出现临床蛋白尿，最后发展为慢性肾功能不全。终末期肾病是老年人糖尿病引起死亡的主要原因。,lnrtnbsb," 老年人糖尿病性肾病变,老年糖尿病肾病",http://jbk.39.net/lnrtnbsb/yyzl,内科,http://jbk.39.net/lnrtnbsb/jbzs,"乏力,糖尿,多尿,免疫功能障碍,失水,无力"
老年人甲减性心脏病,内分泌科,　　甲状腺功能减退性心脏病(甲减心)是由于甲状腺素合成、分泌不足或生物效应不足而引起心肌收缩力减弱，心排血量和外周血流量减少等一系列症状和体征的一种内分泌紊乱性心脏病。,lnrjjxxzb, 老年甲减心,http://jbk.39.net/lnrjjxxzb/yyzl,内科,http://jbk.39.net/lnrjjxxzb/jbzs,
胰岛素抵抗与代谢综合征,内分泌科,　　胰岛素抵抗是大家关注的热点问题之一。早在20世纪60年代人们便观察到糖耐量受损(IGT)、糖尿病、肥胖、脂代谢紊乱和高血压等常同时出现于同一个体，当时有人称其为繁荣综合征，但在相当长时间内人们并不了解该综合征的各种成分为何先后或同时出现在同一个体或同一家族，因此又称其为X综合征。直至1988年Reaven首先提出胰岛素抵抗综合征后，人们才将上述多种表现与胰岛素抵抗联系在一起，认为他们发病的共同病理基础为胰岛素抵抗。胰岛素抵抗的定义：机体对胰岛素的生理作用的反应性降低或敏感性降低。狭义的胰岛素抵抗是指组织细胞对胰岛素介导的葡萄糖利用的反应性降低。产生胰岛素抵抗的主要部位在肝脏、肌肉和脂肪组织。,ydsdkydxzhz,"
                                        ",http://jbk.39.net/ydsdkydxzhz/yyzl,内科,http://jbk.39.net/ydsdkydxzhz/jbzs,"糖尿,内脏性肥胖,蛋白尿"
低镁血症,内分泌科,　　镁在体内的总量在1000mmol左右(22.66g)，是体内除钠、钾、钙外体内居第4位的最丰富的阳离子。50%～60%存在于骨骼中，细胞外液中仅占1%，血清中镁[Mg2 ]的浓度为0.75～0.95mmol/L(1.7～2.2mg/dl，或1.5～1.9mEq/L)。除骨骼外，肌肉中含镁量较多。血镁浓度不能代表体内镁总量的变化。　　镁广泛分布于动、植物细胞内。镁离子是人体内最重要的离子之一，在细胞内液阳离子的含量中仅次于钾而居第2位，但在细胞外液中的浓度非常低。镁的生理功能相当复杂。镁离子紊乱是比较常见的电解质紊乱，但其临床表现缺乏特异性，容易忽视。,dmxz," 低镁血,血镁过少，镁缺乏症",http://jbk.39.net/dmxz/yyzl,内科,http://jbk.39.net/dmxz/jbzs,"惊厥,无力,面部叩击征,陶瑟征阳性"
ADH分泌过多综合征,内分泌科,"　　抗利尿激素（Antidiuretic Hormone,ADH）分泌过多综合征是由于多种原因引起的内源性抗利尿激素或类似ADH物质持续分泌，使水排泄发生障碍，从而引起低钠血症、水潴留及有关临床表现。",adhfmgdzhz, 抗利尿激素分泌过多综合征,http://jbk.39.net/adhfmgdzhz/yyzl,内科,http://jbk.39.net/adhfmgdzhz/jbzs,"恶心,惊厥,昏迷,食欲不振"
地方性甲状腺肿,内分泌科,　　地方性甲状腺肿(endemic goiter)是甲状腺肿的一种。甲状腺肿按地区分布可分为地方性和散发性两种。地方性甲状腺肿是由于一个地区存在特定的环境致甲状腺肿因素(主要是碘缺乏)，因此，使生活在这一地区的人群中有一定比例的人发生了甲状腺肿，一定比例是指当地学龄儿童甲状腺肿大率在5%以上，即甲状腺肿的存在已构成公共卫生问题。一般来说低于5%，是属散发性甲状腺肿，大多由非缺碘因素造成。,dfxjzxz, 非毒性甲状腺肿，地方性甲状腺肿，散发性甲状腺肿,http://jbk.39.net/dfxjzxz/yyzl,内科,http://jbk.39.net/dfxjzxz/jbzs,"声音嘶哑,碘甲亢,甲状腺肿,甲状腺结节,缺碘"
多发性内分泌腺瘤Ⅱ型,内分泌科,"　　多发性内分泌腺瘤综合征(multiple endocrine neoplasia syndrome ,MENS)是一组有明显家族倾向的显性遗传性疾病，有多个内分泌腺发生肿瘤，且能产生多种与所在腺体相同或复环同的激素或激素样物质，因而引起极其复杂而且多变的内分泌征群。",dfxnfmxlx," Ⅱ型多发性内分泌腺瘤病,家族性嗜铬细胞瘤病,甲状腺髓样癌-嗜铬细胞瘤综合征,西普勒综合征,雪泼综合征",http://jbk.39.net/dfxnfmxlx/yyzl,内科,http://jbk.39.net/dfxnfmxlx/jbzs,
乳酸酸中毒,内分泌科,　　乳酸性酸中毒(lactic acidosis，LA)是一种较少见而严重的糖尿病急性并发症，一旦发生，病死率可高达50%以上，尤其血乳酸25mmol/L，病死率高达80%。血浆乳酸浓度取决于糖酵解及乳酸被利用速度， 因各种原因导致组织缺氧， 乳酸生成过多， 或因肝肾等疾病使乳酸利用减少和清除障碍， 则血乳酸浓度升高。,rsszd, 乳酸性酸中毒,http://jbk.39.net/rsszd/yyzl,内科,http://jbk.39.net/rsszd/jbzs,"肚子疼,心脏毒性作用,嗜睡,神志模糊,木僵"
餐后血糖过低症,内分泌科,　　又称餐后迟发型倾倒综合征。是指胃切除后胃排空过速，葡萄糖迅速被肠粘膜吸收，致血糖骤然增高，刺激胰岛过多分泌胰岛素而出现的一系列低血糖症。,chxtgdz, 餐后迟发型倾倒综合征,http://jbk.39.net/chxtgdz/yyzl,内科,http://jbk.39.net/chxtgdz/jbzs,"餐后血糖过低,头晕,心慌,无力,出冷汗"
高钠血症,内分泌科,　　高钠血症指血钠过高(通常为145mmol/L)并伴血渗透压过高的情况。除个别情况外(输入过多含钠盐过多的液体等)，本症主要是由失水引起，有时也伴失钠，但失水程度大于失钠。本病常有细胞内水分减少，这是由于细胞外高渗透压可以将细胞内水分吸出到细胞外;因此血容量开始并不下降，但到晚期严重时仍可减少。,gnxz,"
                        ",http://jbk.39.net/gnxz/yyzl,内科,http://jbk.39.net/gnxz/jbzs,"失水,水钠的蓄积,昏迷,低血钾"
侏儒症,内分泌科,　　矮小症或矮身材(short stature)是指在相似环境下身高较同种族、同性别同年龄健康儿童身高均值低2个标准差（-2SD）以上或处于第3百分位数以下其中部分属正常生理变异,zrz," 垂体性矮小病,垂体性侏儒症,矮小症",http://jbk.39.net/zrz/yyzl,内科,http://jbk.39.net/zrz/jbzs,
带状疱疹性角膜炎,内分泌科,　　眼部带状疱疹(herpes zoster ophthalmicus)可合并眼睑炎、结膜炎、角膜炎、巩膜炎、葡萄膜炎、视网膜病变(急性视网膜坏死)、视神经炎、眼肌麻痹等。其中60%可发生带状疱疹性角膜炎(herpes zoster keratitis)，造成角膜瘢痕，严重影响视力。近来有逐渐增多的倾向，值得警惕。,dzpzxjmy,"
                                ",http://jbk.39.net/dzpzxjmy/yyzl,内科,http://jbk.39.net/dzpzxjmy/jbzs,"胸痛,带状疱疹样外观,疱疹,神经痛,角膜溃疡,脓肿"
糖尿病并结核病,内分泌科,　　糖尿病病人是结核病的高发人群。在肺结核与糖尿病的相互影响中，以糖尿病对肺结核的影响更为重要。根据多数文献资料提示，糖尿病病人的结核病患病率比普通人群的结核病患病率高4～8倍。两病并存时，糖尿病先于肺结核者占3/4，两病同时发现者占1/4，而肺结核先于糖尿病者只占少数。,tnbbjhb,"
                                        ",http://jbk.39.net/tnbbjhb/yyzl,内科,http://jbk.39.net/tnbbjhb/jbzs,
功能性下丘脑性闭经,内分泌科,　　下丘脑是生殖的重要器官，下丘脑通过神经传导及垂体-门脉系统调节垂体的功能，使垂体分泌相应的激素，这些激素作用于卵巢，产生甾体激素，保证生殖功能的正常维持。下丘脑的功能一方面接受中枢神经细胞的刺激，调节促垂体激素的分泌;一方面受垂体分泌的激素的负反馈调节。下丘脑中央隆突的弓状核区的神经内分泌细胞以脉冲的方式释放GnRH，精神紧张、剧烈运动、下丘脑肿瘤等均可造成GnRH分泌发生异常，导致不排卵及闭经。,gnxxqnxbj, 功能失调性下丘脑性闭经,http://jbk.39.net/gnxxqnxbj/yyzl,内科,http://jbk.39.net/gnxxqnxbj/jbzs,"食欲不振,神经性厌食,假孕,继发性闭经,青春前期闭经"
蛋白质-能量营养不良,内分泌科,　　蛋白质-能量营养不良(protein energy malnutrition，PEM)是因食物供应不足或疾病因素引起的一种营养缺乏病，临床上表现为消瘦(marasmus)和恶性营养不良综合征(kwashiorkor)。消瘦是由于长期在膳食中缺乏热量、蛋白质以及其他营养素的结果，或患者对食物的消化、吸收和利用有障碍所引起。此型以能量缺乏为主，兼有蛋白质缺乏，表现为进行性消瘦、皮下脂肪减少、水肿及各器官功能紊乱。恶性营养不良则表现为膳食中蛋白质缺乏突出，而热能的供应还是够的，主要表现为营养不良性水肿。但大多数患者是介于两者之间，轻型的慢性蛋白质-能量营养不良常被忽视，它影响着小儿的生长发育、免疫功能，易患病又不易康复。,dbznlyybl," 蛋白质能量营养不良,蛋白质-热量营养不良症,蛋白质能量营养不良症",http://jbk.39.net/dbznlyybl/yyzl,内科,http://jbk.39.net/dbznlyybl/jbzs,"全身毛发呈灰白色,面颊明显内陷,胚胎发育慢,能量不足,面部皮肤皱纹增多"
粘液表皮样癌,内分泌科,　　粘液表皮样癌(mucoepidermoid carcinoma)也称粘液表皮样肿瘤(mucoepidermoid tumor)，在涎腺肿瘤中占5%～10%。Stewart等根据其临床特点和组织学特征将其称为粘液表皮样肿瘤，并又分为良性及恶性两类。WHO也曾采用粘液表皮样瘤的名称，但以后许多学者认为这种命名分类并不恰当，认为此肿瘤全部为恶性，应称为粘液表皮样癌，并根据癌细胞分化程度的高低和生物学行为，将其分为低度恶性和高度恶性粘液表皮样癌。WHO1990年修订的涎腺肿瘤的命名及分类已采用这种分类方法。虽然ldquo;粘液表皮样rdquo;一词并不完全合适，但基本上反映了肿瘤的主要成分为粘液样细胞和表皮样细胞。粘液表皮样癌来源于腺管的上皮细胞。,zybpya, 粘液表皮样肿瘤,http://jbk.39.net/zybpya/yyzl,内科,http://jbk.39.net/zybpya/jbzs,"抽搐,生长缓慢"
老年甲状腺功能减退症,内分泌科,　　甲状腺功能减退症(简称甲减，hypothyroidism)系甲状腺激素合成分泌不足或生理效应不足所致的全身性疾病，可发生于任何年龄，老年人亦不少见。文献报告年龄65岁的老年人中，临床甲减的患病率约为1%～5%，另有5%～15%的人群伴亚临床性甲减，其患病率随年龄增长而增高，住院病人中患病率更高。,lnjzxgnjtz, 甲状腺功能减低症，甲减，甲状腺功能低下，甲低,http://jbk.39.net/lnjzxgnjtz/yyzl,内科,http://jbk.39.net/lnjzxgnjtz/jbzs,"恶心与呕吐,粘液性水肿面容,痴呆面容,食欲减退,嗜睡,毛发干枯"
水过多,内分泌科,　　系指机体摄入或输入水过多，以致水在体内潴留，引起血液渗透压下降和循环血量增多，又称ldquo;水中毒rdquo;或稀释性低钠血症。水中毒发生较少，仅在抗利尿激素分泌过多或肾功能不全的情况下，机体摄入水分过多或接受过多的静脉输液，才造成水在体内蓄积，导致水中毒。,sgd, 水中毒,http://jbk.39.net/sgd/yyzl,内科,http://jbk.39.net/sgd/jbzs,"无力,抽搐,恶心,昏迷"
血卟啉病,内分泌科,　　血卟啉病(hematoporphyria)原称紫质病，属少见病，大多是因遗传缺陷造成血红素合成途径中有关的酶缺乏导致卟啉代谢紊乱而发生的疾病。临床表现主要有光感性皮肤损害、腹痛及神经精神症状。卟啉前体可能为导致腹部和神经精神症状的物质基础。交感神经系统在腹痛和血压增高的发病中起一定的作用。根据卟啉代谢紊乱的部位，分为红细胞生成性血卟啉病、肝性血卟啉病。,xblb, 血紫质病，蓄血病,http://jbk.39.net/xblb/yyzl,内科,http://jbk.39.net/xblb/jbzs,"光感性皮肤损害,烦躁不安,恶心,腹胀,低烧,无力,肚子疼"
甲状腺功能亢进症的肾损害,内分泌科,　　甲状腺功能亢进症(简称甲亢，hyperthyroidism)是指多种原因所致的血循环中甲状腺激素水平增高而引起的临床综合征。临床上以高代谢征群、甲状腺肿大、突眼症、神经及心血管系统功能紊乱为特征，病理上甲状腺可呈弥漫性、结节性或混合性肿大等表现。血循环中甲状腺激素水平增高可导致肾脏的一系列变化。主要有肾血管扩张，肾血浆流量、肾小球滤过率、肾小管回吸收率与排泌能力均增加。同时由于肾髓质血流量增加，髓质内溶质浓度降低使渗透压降低，导致肾小管浓缩功能受损。甲亢时由于骨质分解增加，可发生中度高血钙而致肾脏病变甚至肾功能不全。少数患者可合并肾小管酸中毒。,jzxgnkjzdssh, 甲亢肾损害,http://jbk.39.net/jzxgnkjzdssh/yyzl,内科,http://jbk.39.net/jzxgnkjzdssh/jbzs,"眼压升高,消化不良,心动过速,心脏扩大"
老年人甲状腺功能低下,内分泌科,　　甲状腺功能减退症(hypothyroidism，简称甲减)是指由于不同原因引起甲状腺激素缺乏，使机体的代谢和全身各个系统功能减退，所引起的临床综合征。女性甲减较男性多见，且随年龄增加，其患病率见上升。由于老年人自身免疫的改变，易患免疫性疾患等因素，因此老年甲减并非少见。功能减退始于老年期或由成人甲减过渡到老年期者均称为老年甲减。,lnrjzxgndx,"
                                        ",http://jbk.39.net/lnrjzxgndx/yyzl,内科,http://jbk.39.net/lnrjzxgndx/jbzs,"乏力,食欲减退,厌食,皮质功能减退,恶性贫血,皮肤粗糙"
原发性甲状旁腺功能亢进症,内分泌科,　　甲状旁腺功能亢进症(hyperparathyroidism)简称甲旁亢。　　甲状旁腺一般有四个，紧密附在甲状腺左右两叶的背面内侧。腺体呈卵圆形、扁平，长5～6mm，宽3～4mm，厚约2mm;重30～45mg;黄褐色，质软。甲状旁腺分泌甲状旁腺素，其生理功能是调节体内钙的代谢，维持体内钙和磷的平衡。原发性甲状旁腺功能亢进多由于单发的甲状旁腺腺瘤(90%)所引起，较少由于多发的腺瘤或甲状旁腺的增生，很少由于腺癌。,yfxjzpxgnkjz, 侠瘿瘅，侠瘿瘤,http://jbk.39.net/yfxjzpxgnkjz/yyzl,内科,http://jbk.39.net/yfxjzpxgnkjz/jbzs,"食欲不振,恶心,甲状旁腺功能亢进,皮肤瘙痒"
垂体性侏儒症,内分泌科,　　垂体性侏儒症系指青春期以前垂体前叶生长激素缺乏所致的生长发育障碍。目前对此病唯一有效的治疗方法是进行人生长激素（hGH）替代疗法。,ctxaxb," 垂体性矮小病,垂体性侏儒症,矮小症",http://jbk.39.net/ctxaxb/yyzl,内科,http://jbk.39.net/ctxaxb/jbzs,"子宫小,成年后的容貌仍似儿童,外阴幼稚"
甲状腺功能亢进伴发的精神障碍,内分泌科,　　甲状腺功能亢进疾病是甲状腺素分泌过多导致的躯体症状和神经精神障碍。本病患者几乎都伴有不同程度的精神症状，精神障碍是本病全部临床表现的一个固定组成部分。,jzxgnkjbfdjsza,"
                                        ",http://jbk.39.net/jzxgnkjbfdjsza/yyzl,内科,http://jbk.39.net/jzxgnkjbfdjsza/jbzs,"焦虑,抑郁,食欲异常,性欲减退,猜疑,功能性震颤"
