Disease_cn,Level2_dep,Descript,Disease_ab,Alias,Treatment,Head_dep,Id,Symptom
痰火,呼吸内科,　　痰火是指无形之火与有形之痰煎熬胶结贮积于肺的病证，所谓“窠囊之痰”。平时可无明显症状，如因外邪或饮食内伤等因素则引致发作。其症颇似哮喘，烦热胸痛，口干唇燥，痰块很难咯出等。是头部及耳后有痰核如串珠状，或脏下有结核的病症。其核按之紧，推之不移，兼见舌红苔黄、脉弦滑数等。因其由于肝火、痰郁所致，故名。,th2, 窠囊之痰,http://jbk.39.net/th2/yyzl,内科,http://jbk.39.net/th2/jbzs,
寒饮咳嗽,呼吸内科,　　一受寒就咳嗽，是因为脾肺区域有水饮，这些水的存在，一受寒就会刺激肺部产生咳嗽现象。,hyks,"
                        ",http://jbk.39.net/hyks/yyzl,内科,http://jbk.39.net/hyks/jbzs,
乳酸性酸中毒,呼吸内科,　　乳酸由丙酮酸还原而成，是糖中间代谢产物，当缺O2或丙酮酸未及氧化时即还原为乳酸。各种原因引起血乳酸水平升高而导致的酸中毒称为乳酸性酸中毒。正常人空腹静脉血(休息状态下)中乳酸浓度为0.4～1.4mmol/L，丙酮酸浓度为0.07～0.14mmol/L，两者比值为10：1，一般15∶1，平时处于平衡状态;当乳酸浓度超过2mmol/L(有些认为5mmol/L)，HCO-3≤10mmol/L，乳酸/丙酮酸10而可排除其它酸中毒原因时，可确诊为本病。,rsxszd,"
                        ",http://jbk.39.net/rsxszd/yyzl,内科,http://jbk.39.net/rsxszd/jbzs,"恶心,肚子疼,心脏毒性作用,嗜睡,昏迷,神志模糊,木僵"
口腔毛滴虫病,呼吸内科,　　口腔毛滴虫病是由口腔毛滴虫寄生在口腔、齿垢，及齿的龋洞内，可引起咳嗽、咳痰临床症状，故又称口腔毛滴虫病。一般认为与口腔疾患无直接关系，但可下延引起支气管炎和肺部感染，主要症状为咳嗽、咳痰，在黄色和血色痰或胸水中均可检出虫体。,kqmdcb, 毛滴虫病,http://jbk.39.net/kqmdcb/yyzl,内科,http://jbk.39.net/kqmdcb/jbzs,"咳嗽,咳痰"
老年人特发性肺纤维化,呼吸内科,　　特发性肺纤维化系指原因不明，局限于肺间质纤维化，过去曾使用过Hamman-Rich综合征，隐匿性致纤维化性肺泡炎(cryptogenic fibrosing alveolitis CFA)等病名，IPF和CFA都代表着同一个原因不明的慢性弥漫性的肺实质的炎症性疾病。IPF可发生在任何年龄，但以50岁以上老人为主，是主要累及老年人的一种疾病。男女发病率相仿，多年来对其原因进行研究，并未得到明确结论，目前认为本病是一种自身免疫性疾病。,lnrtfxfxwh," 老年人Hamman-Rich综合征,老年人特发性肺纤维变性,老年人隐匿性致纤维化性肺泡炎,老年特发性肺间质纤维化",http://jbk.39.net/lnrtfxfxwh/yyzl,内科,http://jbk.39.net/lnrtfxfxwh/jbzs,"呼吸困难,端坐呼吸,消瘦,呼吸衰竭,干咳,关节酸痛"
小儿急性气管支气管炎,呼吸内科,　　急性支气管炎(acute tracheobronchitis)是病毒或细菌等病原体感染所致的支气管黏膜的急性炎症。是婴幼儿时期的常见病、多发病，往往继发于上呼吸道感染之后，也常为肺炎的早期表现。本病多同时累及气管、支气管，故正确命名应为急性气管支气管炎。临床以咳嗽伴(或不伴)有支气管分泌物增多为特征。,xejxqgzqgy, 小儿急性气管,http://jbk.39.net/xejxqgzqgy/yyzl,内科,http://jbk.39.net/xejxqgzqgy/jbzs,"胸痛,小儿干咳,双肺水泡音"
尘肺,呼吸内科,　　石棉肺(asbestosis)是长期吸入石棉粉尘引起的慢性、进行性、弥漫性、不可逆肺间质纤维化、胸膜斑形成和胸膜肥厚，严重损害患者的肺功能，并可使肺、胸膜恶性肿瘤的发生率显著增高。,smf," 石棉沉滞症,石棉沉着病，石棉肺",http://jbk.39.net/smf/yyzl,内科,http://jbk.39.net/smf/jbzs,
小儿真菌性肺炎,呼吸内科,　　真菌性肺炎(mycotic pneumonia)是指由真菌及放线菌引起的肺部感染。真菌侵犯肺脏后，可引起不同程度的肺炎，严重者有肺组织坏死，甚至还经血行播散到身体其他部位。它占所有内脏真菌感染的首位，虽然比较少见，但常在许多全身性疾患基础上发生，可使诊断及治疗发生困难，故在临床工作中有一定重要意义。真菌性肺炎不是常见病，近10～20年来由于广泛应用广谱抗生素、细胞毒药物及肾上腺皮质激素，其发病率及临床重要性正不断增加，并日益受到重视。,xezjxfy, 小儿霉菌性肺炎,http://jbk.39.net/xezjxfy/yyzl,内科,http://jbk.39.net/xezjxfy/jbzs,"低烧,烦躁不安,呼吸困难"
休克型肺炎,呼吸内科,　　休克型肺炎是指伴有休克的一种重症肺炎，多由毒力极强的革兰阳或阴性菌感染所致，病情严重进展迅速。常发生各种严重并发症，如不及时救治，可危及生命。,xkxfy," 重症肺炎,中毒性肺炎",http://jbk.39.net/xkxfy/yyzl,内科,http://jbk.39.net/xkxfy/jbzs,"发绀,面色苍白,意识模糊,嗜睡,脉搏细速,心脏压塞征象,冷汗,无尿,血压下降"
夜间哮喘,呼吸内科,　　夜间和清晨喘鸣是哮喘患者最常见的症状。Turner-Warwrick对约8000名哮喘患者人群的调查显示：39%患者每晚出现夜间哮喘发作症状，64%患者每周至少有3次夜间症状出现，74%患者则每周至少一次。在另一研究中，3129名患者出现1631次哮喘发作，其中1525次出现于夜间10时到清晨10时，高峰在晨4时。由此可见哮喘患者多数都经历过夜间咳嗽、喘鸣和呼吸困难等症状，在严重哮喘患者更会影响他们的生活质量。其重要性还在于哮喘引致的呼吸骤停多在夜间发生。据统计70%的哮喘死亡发生在睡眠相关的时段。目前对引起夜间哮喘的神经机制、炎症机制以及其影响、后果及处理已取得了一定的进展。,yjxc,"
                                        ",http://jbk.39.net/yjxc/yyzl,内科,http://jbk.39.net/yjxc/jbzs,
小儿阻塞性睡眠呼吸暂停,呼吸内科,　　儿童阻塞性睡眠呼吸暂停综合征(OSAS)是指每小时睡眠中，阻塞性睡眠呼吸暂停次数≥1次，伴有SaO292%。患儿生长发育迟缓，智能障碍及心理行为异常，严重者有心肺功能不全。多导睡眠图检查可以明确是否患有OSAS。　　睡眠呼吸暂停或睡眠呼吸障碍是指睡眠过程中出现的呼吸障碍，包括睡眠呼吸暂停综合征、低通气综合征、上气道阻力综合征、慢性肺部及神经肌肉疾患引起的有关的睡眠呼吸障碍等。是指睡眠中口、鼻气流停止10s以上(儿童6s或以上)，分为中枢性(central sleep apnea，CSA)、阻塞性(obstructive sleep apnea，OSA)和混合性三类，其中以阻塞性最常见，占90%。以下主要介绍阻塞性睡眠呼吸暂停，多因耳鼻咽喉部慢性病变所引起，典型的临床表现为睡眠紊乱和噪性呼吸，肋软骨向内移动的非常规呼吸，伴有呼吸暂停。,xezsxsmhxzt," 儿童睡眠呼吸障碍,儿童阻塞性睡眠呼吸暂停",http://jbk.39.net/xezsxsmhxzt/yyzl,内科,http://jbk.39.net/xezsxsmhxzt/jbzs,"双吸气,打呼噜,张口呼吸,喘息"
柯萨奇病毒感染,呼吸内科,　　柯萨奇病毒感染是由柯萨奇病毒引起的病毒性感染性疾病。柯萨奇病毒(Coxsachie virus)是一种肠病毒(enteroviruses)分为A和B两类，妊娠期感染可引起非麻痹性脊髓灰质炎性病变，并致胎儿宫内感染和致畸。临床表现复杂多样，有无菌性脑膜炎、脑炎、心肌炎、心包炎、流行性胸肌痛、疱疹性咽峡炎等，有的病情类似脊髓灰质炎。,ksqbdgr,"
                                ",http://jbk.39.net/ksqbdgr/yyzl,内科,http://jbk.39.net/ksqbdgr/jbzs,"发烧,咽痛,咳嗽,皮疹"
小儿继发性免疫缺陷病,呼吸内科,　　因后天因素(理化因素、感染因素、营养因素、疾病因素、生理发育不成熟、老年退化等)所致免疫缺陷，称为继发性免疫缺陷病(secondary immunodeficiency，SID)。SID表现为轻度免疫功能缺陷，且常为可逆性变异，及时去除不利因素之后，有望恢复正常免疫功能。,xejfxmyqxb,"
                        ",http://jbk.39.net/xejfxmyqxb/yyzl,内科,http://jbk.39.net/xejfxmyqxb/jbzs,"反复感染,免疫缺陷,肝脾肿大,淋巴结肿大"
燥邪犯肺,呼吸内科,　　燥邪犯肺证又称燥气伤肺证。本证是外感燥邪或感受风热，化燥伤阴，以肺阴耗伤为主要临床表现的一类症状的概称。,zxff,"
                                        ",http://jbk.39.net/zxff/yyzl,内科,http://jbk.39.net/zxff/jbzs,
哮喘持续状态,呼吸内科,　　哮喘持续状态指的是常规治疗无效的严重哮喘发作，持续时间一般在12h以上。哮喘持续状态并不是一个独立的哮喘类型，而是它的病生理改变较严重，如果对其严重性估计不足或治疗措施不适当常有死亡的危险。死于哮喘的尸检资料表明，最显著的异常是肺的过度膨胀，此乃由于弥漫的气道阻塞引起空气滞留所致。气道内有广泛的黏液栓，此黏液栓由黏液、脱落的上皮细胞和炎症细胞所组成，有时形成小支气管及其分支的管型。气道壁增厚，有大量的嗜伊红细胞浸润，平滑肌和黏膜下腺体肥厚和增生。哮喘持续状态的主要表现是呼吸急促，多数患者只能单音吐字，心动过速、肺过度充气、哮鸣、辅助呼吸肌收缩、奇脉和出汗。诊断哮喘持续状态需排除心源性哮喘、COPD、上呼吸道梗阻或异物以及肺栓塞。测定气道阻塞程度最客观的指标是：PEFR和(或)FEV1。提示哮喘危重的临床指征是，充分药物治疗下病情仍恶化;呼吸困难影响了睡眠和说话;辅助呼吸肌收缩;神志改变;气胸或纵隔气肿;脉率120次/min;呼吸频率30次/min;奇脉2.4kPa(18mmHg);FEVl0.5L; FVC1L;PEFR120L/min;PO28.66kPa (65mmHg);PCO2高于正常。,xccxzt,"
                                        ",http://jbk.39.net/xccxzt/yyzl,内科,http://jbk.39.net/xccxzt/jbzs,
尘螨过敏性哮喘,呼吸内科,　　尘螨是诱发支气管哮喘的重要变应原。近年来大量研究证实尘螨与支气管哮喘关系密切，最近新西兰的一项对哮喘儿童进行了13年的追踪调查证实了尘螨作为一种独立的危险致敏因素严重影响着哮喘的发病率，近年来美国的3项调查也相继证实了尘螨和猫毛、蟑螂是诱发支气管哮喘的重要诱发因素。目前已有几百项研究证实了尘螨与支气管哮喘发作有着密切的关系，因此近年来有人提出了尘螨过敏性哮喘的诊断名称和概念。自1987年以来，已经召开了数次有关尘螨过敏与支气管哮喘关系的国际研讨会，报告了大量有关尘螨过敏性哮喘的基础与临床的研究进展，为防治该病提供了大量的理论依据和具体的防治措施。,cmgmxxc,"
                                        ",http://jbk.39.net/cmgmxxc/yyzl,内科,http://jbk.39.net/cmgmxxc/jbzs,
老年人支气管扩张,呼吸内科,　　支气管扩张(bronchiectasis)是指肺内支气管管腔持久扩张变形。由于支气管及其周围组织的慢性炎症及支气管阻塞，导致支气管壁组织结构较严重的病理性毁损。管壁纤维性重构，支气管异常扩张，临床上表现为慢性咳嗽，大量脓痰或反复咯血等症状。晚期可并发肺纤维化、肺气肿、肺心病、呼吸衰竭等。,lnrzqgkz," 老年人支气管扩张症,老年支气管扩张症",http://jbk.39.net/lnrzqgkz/yyzl,内科,http://jbk.39.net/lnrzqgkz/jbzs,"两下肺纹理增粗,食欲不振,哮鸣音,反复感染,脓痰,气管隆突以上的损伤"
脂肪栓塞综合征,呼吸内科,　　脂肪栓塞综合征(fat embolism syndrom，FES)是外伤、骨折等严重伤的并发症。自1882年Zenker首次从严重外伤死亡病例肺血管床发现脂肪小滴和1887年Bergmann首次临床诊断脂肪栓塞以来，虽然已经一个世纪，并有不少人从不同角度进行过研究，但因其临床表现差异很大，有的病例来势凶猛，发病急骤，甚至在典型症状出现之前即很快死亡，有的可以没有明显的临床症状，只是在死后尸检发现。因此直至近20年对其病理生理才有进一步的认识。Bagg(1979)等认为该综合征是骨折创伤后72h内发生的创伤后呼吸窘迫综合征。创伤早期如出现心动过速，体温升高超过38℃，动脉氧分压(PaO2)下降以及肺部出现暴风雪阴影等特殊征象，可以确诊。Broder认为除外伤外，灼伤、代谢性疾患、减压病、结缔组织病、严重感染、新生物、骨髓炎等也可诱发FES。,zfsszhz," 脂肪栓塞综合症,脂肪栓子综合征",http://jbk.39.net/zfsszhz/yyzl,内科,http://jbk.39.net/zfsszhz/jbzs,"发烧,昏迷,嗜睡,呼吸衰竭"
附红细胞体病,呼吸内科,　　附红细胞体病是由附红细胞体(简称附红体)所感染的人畜共患病。本病的临床表现主要有贫血、发热、腹泻及淋巴结肿大等。　　早在1928年，Schilling等就已从啮齿类动物中发现附红体，直至1986年Puntaric等才正式描述了人类附红体病。我国于1980年首次在家兔中发现附红体，相继在牛、羊、猪等家畜中查到此病原体，以后在人群中也证实了附红体病的存在。,fhxbtb, 血虫体病,http://jbk.39.net/fhxbtb/yyzl,内科,http://jbk.39.net/fhxbtb/jbzs,"发烧,淋巴结肿大,关节痛,乏力,皮肤瘙痒,肝脾肿大"
小儿气管、支气管异物,呼吸内科,　　气管、支气管异物(foreign bodies in the trachea and bronchi)是儿科的常见急危疾病之一，可以造成小儿的突然死亡，多见于5岁以下儿童，严重性取决于异物的性质和造成气道阻塞的程度，轻者可致肺部损害，重者可窒息死亡。 异物分内源性和外源性。内源性异物乃因呼吸道炎症发生的假膜、干痂、血块、脓液、呕吐物等。外源性异物系经口吸入的各种物体。,xeqgzqgyw,"
                        ",http://jbk.39.net/xeqgzqgyw/yyzl,内科,http://jbk.39.net/xeqgzqgyw/jbzs,"气急,声音嘶哑,呛咳,小儿咳嗽"
B链球菌群感染,呼吸内科,　　有人报告，根据美国的观察，B链球菌群感染率正在上升，原因还不清楚。近年来有多次报告本组菌引起的新生儿感染，引起了人们的重视。根据表面抗原的不同可分为九个亚型，即Ⅰa，Ⅰb，Ⅱ，Ⅲ，Ⅳ，Ⅴ，Ⅵ，Ⅶ和Ⅷ。在血碟上可呈甲型、乙型或丙型溶血反应，溶血菌株所产生的链球菌溶血素与A组菌的O与S不同，无抗原性。按照生化分类法，此群菌为无乳链球菌(S.agalactiae)。,blqjqgr, 无乳链球菌感染,http://jbk.39.net/blqjqgr/yyzl,内科,http://jbk.39.net/blqjqgr/jbzs,肺部感染
大肠埃希杆菌肺炎,呼吸内科,　　大肠埃希杆菌(Escherichia co1i，又称大肠杆菌)肺炎近年来明显增加，是引起社区获得性革兰阴性杆菌肺炎的仅次于肺炎克雷白杆菌的第二位常见病原菌，占革兰阴性杆菌肺炎的12%～45%，占全部肺炎病原的2.0%～3.3%。它是医院内获得性肺炎的主要病原菌之一，其发病率为4.2～9.0/1万，占革兰阴性杆菌肺炎的9.0%～15.0%。20世纪60年代该病的病死率高达60%，80年代后明显下降，有报道为29%。主要发生于老年衰弱患者，原有各种慢性基础疾病、危重病患者、气管插管、长期使用皮质激素及其他免疫抑制剂治疗者，长期使用抗生素而致菌群失调者，以及各种免疫球蛋白缺陷患者等，为本病的易感人群。,dcaxgjfy, 大肠杆菌肺炎,http://jbk.39.net/dcaxgjfy/yyzl,内科,http://jbk.39.net/dcaxgjfy/jbzs,
非结核分枝杆菌病,呼吸内科, 非结核分枝杆菌(nontuberculoaus mycobacteria，NTM)病指除人型、牛型结核杆菌及麻风杆菌以外的分枝杆菌感染所引起的肺部和肺外疾病，随着HIV感染和AIDS的流行，非结核分枝杆菌病亦见增多。其组织病理学表现类似结核病，即渗出性病变、增殖性病变和硬化性病变。,fjhfzgjb,"
                                        ",http://jbk.39.net/fjhfzgjb/yyzl,内科,http://jbk.39.net/fjhfzgjb/jbzs,
痰浊头痛,呼吸内科, 痰浊头痛是头痛时作，昏蒙沉重，胸脘满闷，呕吐痰涎;舌苔白腻，脉滑。 这种头痛疾病很少见，所以对他的治疗方法和药物也很少。,tztt,"
                        ",http://jbk.39.net/tztt/yyzl,内科,http://jbk.39.net/tztt/jbzs,
喘证,呼吸内科,"　　喘证古称上气、喘息。一般通称气喘。指以呼吸急促为特征的一种病症。简称喘,亦称“喘逆”,“喘促”，是指呼吸急促，甚至张口耸肩，鼻翼煽动为主要特征.现代医学的慢性喘息型支气管炎，肺炎，肺气肿，肺心病等",cz2, 气喘、喘逆、喘促,http://jbk.39.net/cz2/yyzl,内科,http://jbk.39.net/cz2/jbzs,
肺出血－肾炎综合征,呼吸内科,　　肺出血-肾炎综合征可能系病毒感染和/或吸入某些化学性物质引起原发性肺损害。由于肺泡壁毛细血管基膜和肾小球基底膜存在交叉反应抗原，故可以引起继发性肾损伤。本病好发于男性青年，男与女之比为9∶1。16岁以下患者少见。,fcxsyzhz," 基膜性肾小球肾炎,Goodpasture综合征",http://jbk.39.net/fcxsyzhz/yyzl,内科,http://jbk.39.net/fcxsyzhz/jbzs,"少尿,无尿"
乳糜胸,呼吸内科,　　乳糜胸系不同原因导致胸导管破裂或阻塞，使乳糜液溢入胸腔所致。　　胸导管为体内最大的淋巴管，全长约30～40cm。它起原于腹腔内第一腰椎前方的乳糜池，向上经主动脉裂孔穿越横膈而入纵隔。再沿椎体右前方及食管后方上行，于第五胸椎处跨椎体斜向左上。在椎体及食管左侧上行至颈部，经颈动脉鞘后方跨过锁骨下动脉返行并注左静脉角(左颈静脉与左锁骨下静脉汇合处)。,rmx, 乳糜性水胸,http://jbk.39.net/rmx/yyzl,内科,http://jbk.39.net/rmx/jbzs,
咽结膜热,呼吸内科,　　是上呼吸道感染的一个特殊类型，也叫ldquo;apc热rdquo;。由于病毒感染引起以发热、咽炎和单眼或双眼的急性滤泡性结膜炎三联症为其特点。常发生于夏季，游泳中传播。儿童多见。,yjmr,"
                                        ",http://jbk.39.net/yjmr/yyzl,内科,http://jbk.39.net/yjmr/jbzs,
腺病毒肺炎,呼吸内科,　　1958年以来我国各地相继证实，腺病毒除引起上呼吸道感染外，还可引致小儿肺炎，多见于6个月至2岁的婴幼儿腺病毒肺炎最为危重，尤以北方各省多见，病情严重者也较南方为多。华北、东北及西北于1958年冬及1963年冬有较大规模的腺病毒肺炎流行，病情极其严重。　　腺病毒一般通过呼吸道传染。在集体儿童机构中往往同时发生腺病毒上呼吸道感染及肺炎。人群血清学研究说明，生后最初数月常存留从母体传递的腺病毒特异抗体，此后一直到2岁抗体缺乏，2岁以后才逐渐增加。这与腺病毒肺炎80%发生在7～24月婴幼儿的临床观察完全符合。值得注意的是当地各年龄组易感人群数量越多，发生腺病毒呼吸道感染的人数就多，而婴幼儿发生腺病毒肺炎的机会也越大。腺病毒肺炎在我国北方多见于冬春两季，夏、秋季仅偶见，在广州的高流行年则多见于秋季。这类肺炎在北京约占病毒性肺炎的20%～30%。,xbdfy,"
                                        ",http://jbk.39.net/xbdfy/yyzl,内科,http://jbk.39.net/xbdfy/jbzs,"发绀,高热,腹胀,弛张热,惊厥,呼吸困难,猩红热样皮疹,面色苍白"
慢性呼吸衰竭,呼吸内科,　　慢性呼吸衰竭是在原有肺部疾病，如慢性阻塞性肺病、重症肺结核、肺间质性纤维化、尘肺、胸廓病变和胸部手术、外伤、广泛胸膜增厚、胸廓畸形等基础上发生的，最常见病因为COPD，早期可表现为Ⅰ型呼吸衰竭，随着病情逐渐加重，肺功能愈来愈差，可表现为Ⅱ型呼吸衰竭。慢性呼吸衰竭稳定期，虽PaO2降低和PaCO2升高，但患者通过代偿和治疗，可稳定在一定范围内，患者仍能从事一般的工作或日常生活活动。一旦由于呼吸道感染加重或其他诱因，可表现为PaO2明显下降，PaCO2显著升高，此时可称为慢性呼吸衰竭的急性发作，这是我国临床上最常见的慢性呼吸衰竭类型。,mxhxsj," 慢性呼衰,呼衰",http://jbk.39.net/mxhxsj/yyzl,内科,http://jbk.39.net/mxhxsj/jbzs,"呼吸衰竭,呼吸困难,注意力不集中"
多系统器官功能衰竭,呼吸内科,　　多系统器官功能衰竭(multiple systemic organ failure，MSOF)也称多脏器衰竭 (mul-tiple organ failure，MOF)，是在严重感染、创伤、大手术、病理产科等后，同时或顺序地发生两个或两个以上的器官功能衰竭的临床综合征。MSOF的概念始于20世纪60年代末，70年代初。当时属于一种新的临床综合征，故也称70年代综合征。也是国内外医学界研究的热点课题。20多年来，尽管国内外学者为此做了不少努力，但MSOF的发生率和病死率并无真正降低，其主要原因之一就是缺乏对MSOF概念的统一认识和临床早期诊断方法。过于强调MSOF的终点，难以指导MSOF早期诊断和临床防治。,dxtqggnsj," 多器官功能障碍,多脏器功能失常综合征,多脏器衰竭",http://jbk.39.net/dxtqggnsj/yyzl,内科,http://jbk.39.net/dxtqggnsj/jbzs,"水肿,少尿,呼吸不规则,呼吸暂停"
纵隔气肿,呼吸内科,　　纵隔气肿(mediastinal emphysema)即气体在纵隔的结缔组织间隙内聚积。,zgqz,"
                        ",http://jbk.39.net/zgqz/yyzl,内科,http://jbk.39.net/zgqz/jbzs,
肺隔离症,呼吸内科,　　肺隔离症也称为有异常动脉供血的肺囊肿症是指一种少见的先天性肺发育畸形，由异常体循环动脉供血的部分肺组织形成囊性肿块，这部分肺组织可与支气管相通，造成反复发作的局限性感染，不相通时则不会出现任何呼吸道症状，又称为支气管肺隔离症。临床特点为存在异常动脉供血。本病治疗方法主要是手术切除病变肺组织。,fglz," 肺分离,肺隔离,隔离肺",http://jbk.39.net/fglz/yyzl,内科,http://jbk.39.net/fglz/jbzs,"不明原因发热,胸痛,反复肺炎"
氨气中毒,呼吸内科,　　氨气是高度水溶性、无色、碱性的刺激性气体，强烈刺激眼睛和黏膜。可用于制造化肥、制冷剂，亦可用于炸药、染料、塑料和一些药物的生产。强烈的刺激性促使人们快速离开，从而避免产生严重肺损伤。家用清洁剂释放的氨气引起肺损伤罕见。,aqzd,"
                        ",http://jbk.39.net/aqzd/yyzl,内科,http://jbk.39.net/aqzd/jbzs,
